아이디,등급,지역,경력,연령,매매 동기,합류일
cntfed,방장,-,-,-,-,-
fire33,회원,서울,1-3년,30대,"경제적자유
열심히공부할게요",2026-04-19 02:46
sebinhi,회원,인천,5-10년,40대,경제적 자유,2026-04-19 02:57
popsong98,회원,서울,1-3년,20대 이하,파이어족 되고 싶습니다!!,2026-04-19 03:16
MoneySnipper,회원,서울,3-5년,30대,빠른 은퇴,2026-04-19 03:26
wlgh8654,회원,서울,5-10년,40대,미국주식 을 통하여 경제적 자유를 얻고자 가입희망합니다 적극 활동하겠습니다.,2026-04-19 03:49
